+----------新的日志片段----------+
日志系统已上线，欢迎使用MulNX

[2026-06-30 12:27:48.1505260][成功][MulNXController] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:48.1505600][提示][UIDocker] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:35)
[2026-06-30 12:27:48.1505630][成功][UIDocker] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:48.1505700][成功][ModuleManager] 所有模块初始化成功，模块总量：22    (ModuleManager.cpp:84)
[2026-06-30 12:27:48.1505720][成功][Driver] 各模块初始化完毕，系统已启动    (Driver.cpp:20)
[2026-06-30 12:27:48.1505770][警告][Driver] 当前版本是否为测试版：true    (Driver.cpp:21)
[2026-06-30 12:27:48.1505820][警告][Driver] 当前版本号：B0.2.0C0.44.0    (Driver.cpp:22)
[2026-06-30 12:27:48.1505860][警告][Driver] 当前版本构建时间：Built: Jun 30 2026 19:02:32    (Driver.cpp:23)
[2026-06-30 12:27:48.1505930][警告][Driver] 初始化完成，自核心分配内存并创建开始，共耗时：268446（微秒）    (Driver.cpp:28)
[2026-06-30 12:27:48.1505950][警告][Driver] 版权所有 © Co1Swet    (Driver.cpp:29)
[2026-06-30 12:27:48.1505950][警告][Driver] 欢迎使用MulNX，这是一款运行于-insecure模式的综合内容增强工具。    (Driver.cpp:29)
[2026-06-30 12:27:48.1505950][警告][Driver] 在MulNX中，存在一些“作弊”模块，常常用于验证程序实现正确性。    (Driver.cpp:29)
[2026-06-30 12:27:48.1505950][警告][Driver] 但请注意，在正常情况下，您无法使用MulNX进行作弊，也奉劝您打消作弊想法，否则后果自负！    (Driver.cpp:29)
[2026-06-30 12:27:48.1506180][成功][UICoordinator] 接收到UI节点: UICoordinator (索引 0)    (UICoordinator.cpp:93)
[2026-06-30 12:27:48.1506260][成功][UICoordinator] 接收到UI节点: UISystem (索引 1)    (UICoordinator.cpp:93)
[2026-06-30 12:27:48.1506320][成功][UICoordinator] 接收到UI节点: Debugger (索引 2)    (UICoordinator.cpp:93)
[2026-06-30 12:27:48.1506380][成功][UICoordinator] 接收到UI节点: DeDebugger (索引 3)    (UICoordinator.cpp:93)
[2026-06-30 12:27:48.1506430][成功][UICoordinator] 接收到UI节点: CS2BootLoader (索引 4)    (UICoordinator.cpp:93)
[2026-06-30 12:27:48.1506460][成功][UICoordinator] 接收到UI节点: MulNXController (索引 5)    (UICoordinator.cpp:93)
[2026-06-30 12:27:48.1506530][成功][UICoordinator] 接收到UI节点: MainDraw (索引 6)    (UICoordinator.cpp:93)
[2026-06-30 12:27:48.1506670][警告][UISystem] 接收到启动消息，UI系统开始启动    (UISystem.cpp:49)
[2026-06-30 12:27:48.1661870][成功][TaskSystem] 成功将任务：CS2BootLoader::Update 添加进入工作者：MulNXMain    (TaskSystem.cpp:86)
[2026-06-30 12:27:48.1661960][成功][TaskSystem] 成功将任务：MulNXController::Main 添加进入工作者：MulNXMain    (TaskSystem.cpp:86)
[2026-06-30 12:27:55.3716670][提示][DLLInjectHelper] Remote initialization completed successfully    (DLLInjectHelper.cpp:76)
[2026-06-30 12:27:55.3716930][提示][CS2BootLoader] CS2 launched and injected 
